sy	wilcox_p	wilcox_p2	log2foldchange	lab	show
TPT1P9	0.385942304072423	0.39	-0.175397516465822	no	no
BRINP1	0.149092623625566	0.15	-0.452567594160354	no	no
RP11-295D22.1	0.288175633383966	0.29	0.091740550594369	no	no
MIR147A	0.401735637055398	0.4	-1.23636550200072	no	no
CDK5RAP2	0.000453937062672543	0.00045	1.11051444404288	up	no
MEGF9	0.741302403279195	0.74	0.029174419413758	no	no
AHCYP2	0.9313387806297	0.93	0.640629064284186	no	no
FBXW2	0.0456621220209066	0.046	0.638210484110864	no	no
B3GALT9	0.027908175037836	0.028	0.925312430689301	no	no
RP11-27I1.6	0.0122537185653359	0.012	0.897602715034835	no	no
PSMD5	0.0148813162522627	0.015	0.863572216949821	no	no
CUTALP	0.00132963054822808	0.0013	0.89784350203758	no	no
PHF19	0.00913960329281132	0.0091	0.979226697281925	no	no
TRAF1	0.140197142557822	0.14	0.319665270105814	no	no
C5	0.000393430256677001	0.00039	1.00010688580293	up	no
CNTRL	7.04626452473591e-05	7e-05	1.31678422123176	up	no
RAB14	0.149092623625566	0.15	0.627017683909211	no	no
RN7SL181P	0.00425335194777716	0.0043	0.889315131882871	no	no
GSN	0.0421855472235406	0.042	-0.734869120288364	no	no
RP11-477J21.2	0.445088381986749	0.45	0.189279468292184	no	no
RP11-477J21.6	0.206969855137351	0.21	0.566924873419398	no	no
GSN-AS1	0.702257546574928	0.7	-0.103381344262216	no	no
