count	HOX	int	gene	CPM	SID	Group
1063	HOXB	2	HOXB2	21.5334014150747	SP21T5	groupB
3119	HOXB	2	HOXB2	27.3691039478217	SP22	groupB
4654	HOXB	2	HOXB2	29.1052593015944	SP24	groupA
1311	HOXB	2	HOXB2	20.2403341288562	SP26	others
1344	HOXB	2	HOXB2	9.76875212274111	SP28	others
2354	HOXB	2	HOXB2	31.8953611029107	SP31	others
519	HOXB	2	HOXB2	5.01955857943823	SP41	groupA
552	HOXB	2	HOXB2	10.6991687773135	X172017	groupA
270	HOXB	2	HOXB2	5.08935081051587	X177793	groupB
941	HOXB	2	HOXB2	20.3070963849678	X747347	groupB
54	HOXB	3	HOXB3	0.668366098867387	SP04	groupA
26	HOXB	3	HOXB3	0.378512663024676	SP05	groupB
5026	HOXB	3	HOXB3	49.2354612561394	SP07	others
981	HOXB	3	HOXB3	14.1703678627497	SP08	others
4477	HOXB	3	HOXB3	39.7447384628868	SP09	others
416	HOXB	3	HOXB3	7.08038972371298	SP11	groupB
352	HOXB	3	HOXB3	4.26979552106941	SP12	others
85	HOXB	3	HOXB3	0.892831005041901	SP13	groupB
104	HOXB	3	HOXB3	1.20423412423416	SP15	groupA
1259	HOXB	3	HOXB3	15.2854730239568	SP16	others
4488	HOXB	3	HOXB3	39.4214383918414	SP17	others
6	HOXB	3	HOXB3	0.645840325451857	SP18B5	others
132	HOXB	3	HOXB3	2.37857415003094	SP18T5	others
32	HOXB	3	HOXB3	2.75076819499921	SP19T5	others
566	HOXB	3	HOXB3	9.29465918701685	SP204	others
6	HOXB	3	HOXB3	0.643101153809217	SP20B5	others
4	HOXB	3	HOXB3	0.37657914935854	SP20T5	groupB
20	HOXB	3	HOXB3	0.526327604143325	SP21B5	others
25	HOXB	3	HOXB3	0.506429948614174	SP21T5	groupB
308	HOXB	3	HOXB3	2.70268804614591	SP22	groupB
17	HOXB	3	HOXB3	0.106314870676215	SP24	groupA
255	HOXB	3	HOXB3	3.93690709600177	SP26	others
298	HOXB	3	HOXB3	2.16598819388159	SP28	others
868	HOXB	3	HOXB3	11.7609063030274	SP31	others
14	HOXB	3	HOXB3	0.135402350890434	SP41	groupA
56	HOXB	3	HOXB3	1.0854229194376	X172017	groupA
146	HOXB	3	HOXB3	2.75201932716784	X177793	groupB
383	HOXB	3	HOXB3	8.26526877305279	X747347	groupB
66	HOXB	4	HOXB4	0.816891898615695	SP04	groupA
54	HOXB	4	HOXB4	0.786141684743558	SP05	groupB
2170	HOXB	4	HOXB4	21.2576504030686	SP07	others
1383	HOXB	4	HOXB4	19.9771852743964	SP08	others
3006	HOXB	4	HOXB4	26.6858797899123	SP09	others
775	HOXB	4	HOXB4	13.1906298939364	SP11	groupB
10	HOXB	4	HOXB4	0.12130100912129	SP12	others
95	HOXB	4	HOXB4	0.997869946811536	SP13	groupB
15	HOXB	4	HOXB4	0.173687614072235	SP15	groupA
882	HOXB	4	HOXB4	10.7083297912072	SP16	others
2483	HOXB	4	HOXB4	21.8100337626877	SP17	others
56	HOXB	4	HOXB4	6.02784303755066	SP18B5	others
231	HOXB	4	HOXB4	4.16250476255415	SP18T5	others
32	HOXB	4	HOXB4	2.75076819499921	SP19T5	others
437	HOXB	4	HOXB4	7.17626513202538	SP204	others
11	HOXB	4	HOXB4	1.17901878198356	SP20B5	others
0	HOXB	4	HOXB4	0	SP20T5	groupB
215	HOXB	4	HOXB4	5.65802174454074	SP21B5	others
110	HOXB	4	HOXB4	2.22829177390236	SP21T5	groupB
110	HOXB	4	HOXB4	0.965245730766395	SP22	groupB
21	HOXB	4	HOXB4	0.131330134364736	SP24	groupA
293	HOXB	4	HOXB4	4.52358344756282	SP26	others
160	HOXB	4	HOXB4	1.1629466812787	SP28	others
1098	HOXB	4	HOXB4	14.8772754847052	SP31	others
8	HOXB	4	HOXB4	0.0773727719373908	SP41	groupA
11	HOXB	4	HOXB4	0.213208073460958	X172017	groupA
72	HOXB	4	HOXB4	1.35716021613757	X177793	groupB
165	HOXB	4	HOXB4	3.56075547664154	X747347	groupB
34	HOXB	5	HOXB5	0.420823099286873	SP04	groupA
6	HOXB	5	HOXB5	0.0873490760826175	SP05	groupB
1901	HOXB	5	HOXB5	18.6224854452688	SP07	others
1753	HOXB	5	HOXB5	25.3217684642204	SP08	others
2347	HOXB	5	HOXB5	20.8355821247253	SP09	others
3	HOXB	5	HOXB5	0.0510605028152378	SP11	groupB
2	HOXB	5	HOXB5	0.024260201824258	SP12	others
6	HOXB	5	HOXB5	0.0630233650617812	SP13	groupB
0	HOXB	5	HOXB5	0	SP15	groupA
84	HOXB	5	HOXB5	1.01984093249593	SP16	others
4197	HOXB	5	HOXB5	36.8653691913009	SP17	others
0	HOXB	5	HOXB5	0	SP18B5	others
478	HOXB	5	HOXB5	8.61332154329387	SP18T5	others
153	HOXB	5	HOXB5	13.15211043234	SP19T5	others
4	HOXB	5	HOXB5	0.0656866373640767	SP204	others
0	HOXB	5	HOXB5	0	SP20B5	others
0	HOXB	5	HOXB5	0	SP20T5	groupB
3	HOXB	5	HOXB5	0.0789491406214987	SP21B5	others
1	HOXB	5	HOXB5	0.0202571979445669	SP21T5	groupB
1	HOXB	5	HOXB5	0.00877496118878541	SP22	groupB
2	HOXB	5	HOXB5	0.0125076318442606	SP24	groupA
166	HOXB	5	HOXB5	2.56284932524037	SP26	others
44	HOXB	5	HOXB5	0.319810337351644	SP28	others
1184	HOXB	5	HOXB5	16.0425265700281	SP31	others
0	HOXB	5	HOXB5	0	SP41	groupA
2	HOXB	5	HOXB5	0.0387651042656287	X172017	groupA
24	HOXB	5	HOXB5	0.452386738712522	X177793	groupB
10	HOXB	5	HOXB5	0.215803362220699	X747347	groupB
59	HOXB	6	HOXB6	0.730251848762515	SP04	groupA
15	HOXB	6	HOXB6	0.218372690206544	SP05	groupB
2417	HOXB	6	HOXB6	23.6773000111598	SP07	others
1300	HOXB	6	HOXB6	18.778265261544	SP08	others
1759	HOXB	6	HOXB6	15.6155896708103	SP09	others
37	HOXB	6	HOXB6	0.629746201387933	SP11	groupB
6	HOXB	6	HOXB6	0.072780605472774	SP12	others
44	HOXB	6	HOXB6	0.462171343786396	SP13	groupB
32	HOXB	6	HOXB6	0.370533576687435	SP15	groupA
92	HOXB	6	HOXB6	1.11696864035268	SP16	others
3778	HOXB	6	HOXB6	33.1849808922408	SP17	others
6	HOXB	6	HOXB6	0.645840325451857	SP18B5	others
541	HOXB	6	HOXB6	9.74855011489955	SP18T5	others
47	HOXB	6	HOXB6	4.04019078640508	SP19T5	others
4	HOXB	6	HOXB6	0.0656866373640767	SP204	others
